  658       -1.58
  730      -30.15
    1.601    0.5    0.538   23.0    0.680   40.3
    0.497   53.3    0.175   73.7    0.225   90.6
    0.296  336.7    0.091    0.4    0.117   18.3
    0.103  335.5    0.043  318.3    0.057  322.7
  731      -29.09
    1.614    0.0    0.546   23.0    0.687   39.1
    0.502   52.8    0.178   73.7    0.228   89.3
    0.298  336.3    0.092    0.4    0.118   17.1
    0.103  334.0    0.044  317.0    0.059  321.1
  732      -28.18
    1.626  359.6    0.553   22.9    0.693   38.0
    0.506   52.3    0.181   73.6    0.231   88.2
    0.300  336.0    0.093    0.4    0.119   15.9
    0.103  332.5    0.045  315.7    0.060  319.6
  733      -30.97
    1.637  359.1    0.554   22.4    0.698   37.4
    0.511   51.8    0.181   73.1    0.233   87.6
    0.303  335.6    0.094  359.7    0.120   15.3
    0.102  330.8    0.045  314.5    0.062  318.8
  734      -33.39
    1.648  358.7    0.554   21.8    0.704   36.9
    0.515   51.3    0.182   72.5    0.235   87.1
    0.305  335.3    0.094  359.1    0.121   14.7
    0.102  329.2    0.046  313.4    0.064  317.9
  735      -35.77
    1.658  358.3    0.555   21.2    0.709   36.3
    0.519   50.9    0.182   72.0    0.238   86.6
    0.307  334.9    0.094  358.4    0.122   14.1
    0.102  327.5    0.046  312.3    0.066  317.1
  736      -37.24
    1.670  357.8    0.557   21.0    0.717   35.6
    0.523   50.4    0.183   71.7    0.241   85.9
    0.309  334.5    0.094  358.2    0.124   13.3
    0.102  325.6    0.047  311.5    0.067  316.3
  737      -37.78
    1.681  357.3    0.559   20.8    0.729   34.8
    0.528   49.9    0.184   71.6    0.245   85.1
    0.311  334.1    0.094  358.1    0.126   12.5
    0.102  323.8    0.047  310.9    0.069  315.3
  738      -36.92
    1.691  356.8    0.561   20.8    0.748   34.0
    0.531   49.4    0.185   71.5    0.252   84.3
    0.313  333.7    0.095  358.0    0.129   11.7
    0.102  322.2    0.048  310.2    0.072  314.3
  739      -35.56
    1.701  356.4    0.575   21.4    0.771   32.9
    0.535   49.0    0.190   72.1    0.260   83.3
    0.315  333.3    0.097  358.6    0.133   10.5
    0.102  320.7    0.050  309.6    0.075  313.0
  740      -33.88
    1.710  356.0    0.596   22.2    0.796   31.6
    0.539   48.6    0.197   72.9    0.269   82.0
    0.317  332.9    0.101  359.6    0.137    9.0
    0.102  319.3    0.052  309.0    0.078  311.7
  741      -32.18
    1.719  355.6    0.615   23.0    0.821   30.4
    0.542   48.2    0.205   73.7    0.278   80.8
    0.318  332.6    0.105    0.4    0.141    7.7
    0.102  317.9    0.055  308.5    0.081  310.4
  742      -31.52
    1.730  355.3    0.636   23.6    0.840   28.8
    0.546   47.8    0.212   74.2    0.284   79.2
    0.320  332.3    0.108    0.9    0.144    6.1
    0.102  316.4    0.057  307.9    0.084  309.0
  743      -32.41
    1.743  354.8    0.653   23.6    0.846   27.0
    0.552   47.3    0.218   74.3    0.286   77.5
    0.323  331.9    0.111    0.9    0.145    4.3
    0.103  314.2    0.059  307.3    0.086  307.6
  744      -33.31
    1.757  354.4    0.669   23.6    0.852   25.3
    0.557   46.9    0.224   74.3    0.288   75.8
    0.326  331.6    0.114    0.8    0.145    2.6
    0.104  312.1    0.060  306.7    0.087  306.3
  745      -33.81
    1.771  354.0    0.679   23.3    0.854   23.8
    0.563   46.4    0.228   74.1    0.288   74.3
    0.328  331.2    0.116    0.5    0.145    1.0
