     Time        WW       Cap      Tair      Patm      Hrel      Nebu    Pr?ip.     Evap.
      sec       m/s         ?        ?C      mbar         %      octa m3/s/m2*e-m3/s/m2*e-8
   3790800      2.8        300      9.6       1014        70         0 0.000E+00     3.31
   3801600         2        20      8.2       1014        75         0 0.000E+00     2.95
   3812400      2.7        130         7   1013.9         81         0 0.000E+00     2.59
   3823200      3.3        160      6.8    1013.8         80         0 0.000E+00     2.23
   3834000         1       150     13.2    1015.1         63         1 0.000E+00     1.87
   3844800      1.1        320     16.9    1014.9         55         1 0.000E+00      1.5
   3855600      3.9        190     18.9    1014.6         62         1 0.000E+00     1.52
   3866400      1.9        130     14.3    1016.2         83         0 0.000E+00     1.53
   3877200      2.5        110     14.2    1017.5         77         0 0.000E+00     1.55
   3888000      2.7        100     13.2    1017.5         81         1 0.000E+00     1.56
   3898800         3        90     12.6    1017.4         83         0 0.000E+00     1.58
   3909600      4.9        110        13   1016.9         81         3 0.000E+00     1.59
   3920400         3        80     16.9    1017.6         70         2 0.000E+00     1.61
   3931200      7.1        150     20.5    1016.8         62         7 0.000E+00     1.62
   3942000      6.2        130     18.9    1015.5         69         7 3.240E-03      1.9
   3952800      7.2        130     17.7    1015.7         75         5 6.480E-03     2.17
   3963600      6.5        120     17.5    1015.9         76         7 9.720E-03     2.45
   3974400      6.9        120     17.2    1014.8         75         7 1.296E-02     2.72
   3985200      7.9        120     17.5    1013.2         73         6 1.512E-02     2.99
   3996000      7.2        130     17.5       1013        73         4 1.836E-02     3.27
   4006800      9.1        130     18.9    1012.9         69         7 2.160E-02     3.54
   4017600      9.7        140     20.7    1011.7         59         7 2.484E-02     3.82
   4028400      8.3        140        20   1010.1         60         7 3.812E-01     3.54
   4039200     10.2        120     19.2    1010.2         68         7 7.376E-01     3.27
   4050000      8.7        130     18.5    1010.8         74         8 1.093E+00     2.99
   4060800     10.7        120     19.2    1010.1         69         8 1.450E+00     2.72
   4071600      8.9        140     18.7    1010.2         70         0 1.806E+00     2.45
   4082400      6.5        140     18.5    1010.8         75         8 2.162E+00     2.17
   4093200      7.7        120     18.3    1010.8         77         8 2.519E+00      1.9
   4104000      6.2        120     17.8    1009.7         88         8 2.875E+00     1.62
   4114800      5.5        190     17.1    1008.5         91         8 2.515E+00     1.61
   4125600      6.7        130     16.2    1008.6         84         7 2.157E+00     1.59
   4136400      2.9        200     16.9    1009.8         87         6 1.797E+00     1.58
   4147200      1.5         90     14.9    1011.4         75         7 1.437E+00     1.56
   4158000         3       110     14.1    1011.7         85         0 1.078E+00     1.55
